,language,lateral,elevation
46,Pirahã,0,75
47,Min Nan Chinese,0,35
48,Nama (Namibia),0,1170
49,Naasioi,0,1855
50,Nimboran,0,61
51,Ocaina,0,114
52,Panare,0,52
53,Resígaro,0,127
54,Rotokas,0,283
55,Waima,0,9
56,Seneca,0,427
57,Sentani,0,74
58,Ninam,0,575
59,Shasta,0,1111
60,Epena,0,22
61,Siona-Tetete,0,236
62,Sirionó,0,182
63,Suena,0,68
64,Ticuna,0,150
65,Tamnim Citak,0,19
66,Tacana,0,207
67,Wapishana,0,130
68,Wichita,0,390
69,Wintu,0,157
70,Wantoat,0,1967
71,Usan,0,724
72,Yagua,0,97
73,Yareba,0,223
74,Yawa,0,852
