Glottocode,language,round,elevation
west2369,Western Farsi,3,2174
west2397,Western Bru,9,161
west2600,West Makian,2,392
west2632,Western Keres,7,1852
west2644,Western Highland Chatino,5,1344
west2650,Western Cham,5,35
wich1260,Wichita,8,390
wikm1247,Wik-Mungkan,3,32
wint1259,Wintu,3,157
wiyo1248,Wiyot,5,449
wuch1236,Wu Chinese,5,205
yaga1260,Yagaria,4,1810
yagu1244,Yagua,5,97
yaku1245,Sakha,6,875
yana1271,Yana,5,25
yane1238,Yanesha',2,2474
yany1243,Yanyuwa,2,57
yaqu1251,Yaqui,3,788
yare1248,Yareba,3,223
yess1239,Yessan-Mayo,4,21
yidi1250,Yidiñ,2,7
yoru1245,Yoruba,6,105
yuca1254,Yucatec Maya,5,86
yuch1247,Yuchi,5,247
yucu1253,Yucuna,3,164
yuec1235,Yue Chinese,5,-3
yulu1243,Yulu,4,680
zand1248,Zande,7,638
zulu1248,Zulu,3,537
zuni1245,Zuni,5,2210
