Glottocode,language,dorsal,elevation
wang1291,Ngiyambaa,7,153
want1252,Wantoat,13,1967
waor1240,Waorani,15,259
wapi1253,Wapishana,11,130
wapp1239,Wappo,10,59
wara1290,Warray,13,29
wara1303,Warao,13,26
wari1266,Waris,14,640
wayu1243,Wayuu,15,37
west2369,Western Farsi,12,2174
west2397,Western Bru,28,161
west2600,West Makian,9,392
west2632,Western Keres,23,1852
west2644,Western Highland Chatino,13,1344
west2650,Western Cham,19,35
wich1260,Wichita,15,390
wikm1247,Wik-Mungkan,9,32
wint1259,Wintu,13,157
wiyo1248,Wiyot,12,449
wuch1236,Wu Chinese,14,205
yaga1260,Yagaria,13,1810
yagu1244,Yagua,15,97
yaku1245,Sakha,19,875
yana1271,Yana,14,25
yane1238,Yanesha',13,2474
yany1243,Yanyuwa,11,57
yaqu1251,Yaqui,9,788
yare1248,Yareba,9,223
yess1239,Yessan-Mayo,10,21
yidi1250,Yidiñ,9,7
yoru1245,Yoruba,17,105
yuca1254,Yucatec Maya,14,86
yuch1247,Yuchi,16,247
yucu1253,Yucuna,8,164
yuec1235,Yue Chinese,12,-3
yulu1243,Yulu,21,680
zand1248,Zande,23,638
zulu1248,Zulu,11,537
zuni1245,Zuni,11,2210
