,language,spreadGlottis,elevation
129,Wahgi,0,2160
130,Wik-Mungkan,0,32
131,Wantoat,0,1967
132,Usan,0,724
133,Wolof,0,53
134,Waris,0,640
135,Warray,0,29
136,Ngiyambaa,0,153
137,Liberia Kpelle,0,285
138,Katcha-Kadugli-Miri,0,473
139,Yidiñ,0,7
140,Northern Yukaghir,0,0
141,Yareba,0,223
142,Tundra Nenets,0,0
143,Yawa,0,852
