Glottocode,language,syllabic,elevation
thai1261,Thai,9,3
ticu1245,Ticuna,11,150
tiga1245,Tigak,5,44
tigr1270,Tigre,7,2112
timn1235,Timne,8,48
tiru1241,Tiruray,6,435
tiwi1244,Tiwi,4,74
tlin1245,Tlingit,5,656
toar1246,Toaripi,6,7
toho1245,Tohono O'odham,5,640
toll1241,Tol,6,773
tonk1249,Tonkawa,10,86
toro1252,Toro So Dogon,12,279
tosk1239,Northern Tosk Albanian,7,88
toto1305,Totontepec Mixe,9,1423
trum1247,Trumai,6,284
tsou1248,Tsou,6,989
tulu1258,Tulu,13,86
tuni1252,Tunica,7,40
tuuu1240,Tu,5,2746
tuvi1240,Tuvinian,9,613
twee1234,Tweed-Albert,4,51
tzel1254,Tzeltal,6,2091
uppe1439,Upper Chehalis,4,35
usan1239,Usan,6,724
vani1248,Vanimo,16,197
viet1252,Vietnamese,14,8
waim1251,Waima,5,9
waim1255,Waimaha,12,167
wame1240,Wamey,7,79
wang1291,Ngiyambaa,3,153
want1252,Wantoat,7,1967
waor1240,Waorani,10,259
wapi1253,Wapishana,8,130
wapp1239,Wappo,5,59
wara1290,Warray,5,29
wara1303,Warao,10,26
wari1266,Waris,9,640
wayu1243,Wayuu,12,37
west2369,Western Farsi,6,2174
west2397,Western Bru,22,161
west2600,West Makian,6,392
west2632,Western Keres,12,1852
west2644,Western Highland Chatino,9,1344
west2650,Western Cham,11,35
wich1260,Wichita,8,390
wikm1247,Wik-Mungkan,5,32
wint1259,Wintu,5,157
wiyo1248,Wiyot,5,449
wuch1236,Wu Chinese,9,205
yaga1260,Yagaria,9,1810
yagu1244,Yagua,12,97
yaku1245,Sakha,12,875
yana1271,Yana,8,25
yane1238,Yanesha',3,2474
yany1243,Yanyuwa,3,57
yaqu1251,Yaqui,5,788
yare1248,Yareba,5,223
yess1239,Yessan-Mayo,4,21
yidi1250,Yidiñ,3,7
yoru1245,Yoruba,11,105
yuca1254,Yucatec Maya,10,86
yuch1247,Yuchi,8,247
yucu1253,Yucuna,5,164
yuec1235,Yue Chinese,5,-3
yulu1243,Yulu,7,680
zand1248,Zande,16,638
zulu1248,Zulu,5,537
zuni1245,Zuni,5,2210
