,language,periodicGlottalSource,elevation
tetu1245,Tetum,12,317.0
thai1261,Thai,18,3.0
ticu1245,Ticuna,21,150.0
tiga1245,Tigak,13,44.0
tigr1270,Tigre,20,2112.0
timn1235,Timne,17,48.0
tiru1241,Tiruray,16,435.0
tiwi1244,Tiwi,16,74.0
tlin1245,Tlingit,17,656.0
toar1246,Toaripi,8,7.0
toho1245,Tohono O'odham,16,640.0
toll1241,Tol,13,773.0
tonk1249,Tonkawa,15,86.0
toro1252,Toro So Dogon,23,279.0
tosk1239,Northern Tosk Albanian,24,88.0
toto1305,Totontepec Mixe,16,1423.0
trum1247,Trumai,11,284.0
tsou1248,Tsou,13,989.0
tulu1258,Tulu,28,86.0
tuni1252,Tunica,16,40.0
tuuu1240,Tu,19,2746.0
tuvi1240,Tuvinian,21,613.0
twee1234,Tweed-Albert,16,51.0
tzel1254,Tzeltal,14,2091.0
uppe1439,Upper Chehalis,9,35.0
usan1239,Usan,16,724.0
vani1248,Vanimo,25,197.0
viet1252,Vietnamese,26,8.0
waim1251,Waima,9,9.0
waim1255,Waimaha,18,167.0
wame1240,Wamey,32,79.0
wang1291,Ngiyambaa,13,153.0
want1252,Wantoat,16,1967.0
waor1240,Waorani,18,259.0
wapi1253,Wapishana,17,130.0
wapp1239,Wappo,18,59.0
wara1290,Warray,13,29.0
wara1303,Warao,16,26.0
wari1266,Waris,17,640.0
wayu1243,Wayuu,18,37.0
west2369,Western Farsi,20,2174.0
west2397,Western Bru,32,161.0
west2600,West Makian,16,392.0
west2632,Western Keres,29,1852.0
west2644,Western Highland Chatino,18,1344.0
west2650,Western Cham,21,35.0
wich1260,Wichita,14,390.0
wikm1247,Wik-Mungkan,13,32.0
wint1259,Wintu,13,157.0
wiyo1248,Wiyot,13,449.0
wuch1236,Wu Chinese,18,205.0
yaga1260,Yagaria,17,1810.0
yagu1244,Yagua,17,97.0
yaku1245,Sakha,27,875.0
yana1271,Yana,18,25.0
yane1238,Yanesha',14,2474.0
yany1243,Yanyuwa,18,57.0
yaqu1251,Yaqui,14,788.0
yare1248,Yareba,14,223.0
yess1239,Yessan-Mayo,14,21.0
yidi1250,Yidiñ,16,7.0
yoru1245,Yoruba,22,105.0
yuca1254,Yucatec Maya,16,86.0
yuch1247,Yuchi,21,247.0
yucu1253,Yucuna,12,164.0
yuec1235,Yue Chinese,11,-3.0
yulu1243,Yulu,33,680.0
zand1248,Zande,28,638.0
zulu1248,Zulu,18,537.0
zuni1245,Zuni,10,2210.0
