Glottocode,language,approximant,elevation
viet1252,Vietnamese,17,8
waim1251,Waima,6,9
waim1255,Waimaha,15,167
wame1240,Wamey,15,79
wang1291,Ngiyambaa,8,153
want1252,Wantoat,7,1967
waor1240,Waorani,11,259
wapi1253,Wapishana,10,130
wapp1239,Wappo,11,59
wara1290,Warray,9,29
wara1303,Warao,13,26
wari1266,Waris,13,640
wayu1243,Wayuu,16,37
west2369,Western Farsi,10,2174
west2397,Western Bru,26,161
west2600,West Makian,8,392
west2632,Western Keres,18,1852
west2644,Western Highland Chatino,13,1344
west2650,Western Cham,15,35
wich1260,Wichita,11,390
wikm1247,Wik-Mungkan,9,32
wint1259,Wintu,8,157
wiyo1248,Wiyot,11,449
wuch1236,Wu Chinese,12,205
yaga1260,Yagaria,11,1810
yagu1244,Yagua,15,97
yaku1245,Sakha,16,875
yana1271,Yana,12,25
yane1238,Yanesha',7,2474
yany1243,Yanyuwa,11,57
yaqu1251,Yaqui,9,788
yare1248,Yareba,8,223
yess1239,Yessan-Mayo,8,21
yidi1250,Yidiñ,8,7
yoru1245,Yoruba,15,105
yuca1254,Yucatec Maya,13,86
yuch1247,Yuchi,14,247
yucu1253,Yucuna,9,164
yuec1235,Yue Chinese,9,-3
yulu1243,Yulu,11,680
zand1248,Zande,19,638
zulu1248,Zulu,9,537
zuni1245,Zuni,8,2210
