,language,continuant,elevation
tigr1271,Tigrinya,22,2332
tira1254,Tira,25,638
tivv1240,Tiv,15,208
toch1257,Tocho,15,661
tong1318,Tonga (Zambia),15,944
tour1242,Toura (Côte d'Ivoire),21,546
tsam1247,Tsamai,33,741
tsot1241,Tsotso,20,1459
tsuv1239,Tsuvadi,35,257
tuki1240,Tuki,16,581
tuli1249,Tulishi,32,623
tumt1243,Tumtum,26,487
tune1261,Tunen,13,708
tuni1251,Tunia,19,364
tupu1244,Tupuri,34,353
uduk1239,Uduk,12,862
umbu1257,Umbundu,22,1239
uppe1455,Upper Guinea Crioulo,16,44
vame1236,Vame,19,412
wand1278,Wandala,21,339
wawa1246,Wawa,22,1214
wehh1238,Weh,18,1065
west2456,Western Xwla Gbe,29,5
west2458,West Central Banda,22,637
wola1242,Wolaytta,20,1324
wong1247,Wongo,11,483
wuzl1236,Wuzlam,19,535
xamt1239,Xamtanga,17,2165
xhos1239,Xhosa,21,1748
xwel1235,Xwela Gbe,29,32
yala1263,Yala,16,65
yans1239,Yansi,30,355
yaoo1241,Yao,13,1194
yemb1246,Yemba,13,1324
yems1235,Yemsa,18,2227
zagh1240,Beria,17,978
zayy1238,Zay,24,1636
zinz1238,Zinza,19,1338
