,language,high,elevation
tigo1236,Tigon Mbembe,39,255
tigr1271,Tigrinya,10,2332
tira1254,Tira,10,638
tivv1240,Tiv,13,208
toch1257,Tocho,11,661
tong1318,Tonga (Zambia),10,944
tour1242,Toura (Côte d'Ivoire),15,546
tsam1247,Tsamai,21,741
tsot1241,Tsotso,9,1459
tsuv1239,Tsuvadi,15,257
tuki1240,Tuki,12,581
tuli1249,Tulishi,20,623
tumt1243,Tumtum,21,487
tune1261,Tunen,9,708
tuni1251,Tunia,14,364
tupu1244,Tupuri,14,353
uduk1239,Uduk,7,862
umbu1257,Umbundu,12,1239
uppe1455,Upper Guinea Crioulo,11,44
vame1236,Vame,14,412
wand1278,Wandala,18,339
wawa1246,Wawa,18,1214
wehh1238,Weh,15,1065
west2456,Western Xwla Gbe,14,5
west2458,West Central Banda,15,637
wola1242,Wolaytta,17,1324
wong1247,Wongo,8,483
wuzl1236,Wuzlam,13,535
xamt1239,Xamtanga,9,2165
xhos1239,Xhosa,39,1748
xwel1235,Xwela Gbe,14,32
yala1263,Yala,18,65
yans1239,Yansi,11,355
yaoo1241,Yao,10,1194
yemb1246,Yemba,7,1324
yems1235,Yemsa,11,2227
zagh1240,Beria,12,978
zayy1238,Zay,11,1636
zinz1238,Zinza,11,1338
