,language,labial,elevation
suba1252,Suba-Simbiti,12,1294
suga1248,Nizaa,39,1263
suku1261,Sukuma,17,1166
sumb1240,Sumbwa,11,1204
tach1250,Tachelhit,10,904
tada1238,Tadaksahak,11,313
taga1270,Tagalog,7,93
teee1242,Tee,14,25
teng1272,Tengger,14,1226
tese1238,Tese,14,618
tetu1245,Tetum,6,317
tiag1235,Tiagbamrin Aizi,12,17
tiey1235,Tiéyaxo Bozo,11,275
tigo1236,Tigon Mbembe,47,255
tigr1271,Tigrinya,9,2332
tira1254,Tira,9,638
tivv1240,Tiv,13,208
toch1257,Tocho,8,661
tong1318,Tonga (Zambia),12,944
tour1242,Toura (Côte d'Ivoire),17,546
tsam1247,Tsamai,14,741
tsot1241,Tsotso,8,1459
tsuv1239,Tsuvadi,20,257
tuki1240,Tuki,14,581
tuli1249,Tulishi,17,623
tumt1243,Tumtum,15,487
tune1261,Tunen,8,708
tuni1251,Tunia,10,364
tupu1244,Tupuri,19,353
uduk1239,Uduk,8,862
umbu1257,Umbundu,11,1239
uppe1455,Upper Guinea Crioulo,8,44
vame1236,Vame,12,412
wand1278,Wandala,13,339
wawa1246,Wawa,18,1214
wehh1238,Weh,15,1065
west2456,Western Xwla Gbe,17,5
west2458,West Central Banda,14,637
wola1242,Wolaytta,15,1324
wong1247,Wongo,7,483
wuzl1236,Wuzlam,13,535
xamt1239,Xamtanga,9,2165
xhos1239,Xhosa,16,1748
xwel1235,Xwela Gbe,17,32
yala1263,Yala,16,65
yans1239,Yansi,18,355
yaoo1241,Yao,9,1194
yemb1246,Yemba,9,1324
yems1235,Yemsa,9,2227
zagh1240,Beria,9,978
zayy1238,Zay,8,1636
zinz1238,Zinza,10,1338
