,language,back,elevation
suga1248,Nizaa,16,1263
suku1261,Sukuma,7,1166
sumb1240,Sumbwa,5,1204
tach1250,Tachelhit,6,904
tada1238,Tadaksahak,10,313
taga1270,Tagalog,3,93
teee1242,Tee,7,25
teng1272,Tengger,13,1226
tese1238,Tese,8,618
tetu1245,Tetum,3,317
tiag1235,Tiagbamrin Aizi,4,17
tiey1235,Tiéyaxo Bozo,7,275
tigo1236,Tigon Mbembe,7,255
tigr1271,Tigrinya,8,2332
tira1254,Tira,5,638
tivv1240,Tiv,4,208
toch1257,Tocho,5,661
tong1318,Tonga (Zambia),3,944
tour1242,Toura (Côte d'Ivoire),7,546
tsam1247,Tsamai,12,741
tsot1241,Tsotso,4,1459
tsuv1239,Tsuvadi,13,257
tuki1240,Tuki,6,581
tuli1249,Tulishi,9,623
tumt1243,Tumtum,8,487
tune1261,Tunen,4,708
tuni1251,Tunia,6,364
tupu1244,Tupuri,11,353
uduk1239,Uduk,3,862
umbu1257,Umbundu,6,1239
uppe1455,Upper Guinea Crioulo,3,44
vame1236,Vame,2,412
wand1278,Wandala,2,339
wawa1246,Wawa,7,1214
wehh1238,Weh,4,1065
west2456,Western Xwla Gbe,11,5
west2458,West Central Banda,4,637
wola1242,Wolaytta,4,1324
wong1247,Wongo,5,483
wuzl1236,Wuzlam,3,535
xamt1239,Xamtanga,7,2165
xhos1239,Xhosa,4,1748
xwel1235,Xwela Gbe,11,32
yala1263,Yala,4,65
yans1239,Yansi,7,355
yaoo1241,Yao,4,1194
yemb1246,Yemba,4,1324
yems1235,Yemsa,5,2227
zagh1240,Beria,5,978
zayy1238,Zay,6,1636
zinz1238,Zinza,5,1338
0,Gude,0,874
