,language,nasal,elevation
yekh1238,Yekhee,3,296
yeyi1239,Yeyi,13,948
yill1241,Yil,3,818
yine1238,Yine,3,355
yuch1247,Yuchi,7,247
yuki1243,Yuki,3,681
yura1255,Yuracaré,3,209
yuro1248,Yurok,2,756
zaiw1241,Zaiwa,3,1978
zoog1238,Zoogocho Zapotec,4,2507
0,I'saka,0,542
1,Isebe,0,258
2,Hupdë,0,156
3,Tatuyo,0,219
4,Kotiria,0,143
5,Crow,0,1014
