Glottocode,language,back,elevation
wapi1253,Wapishana,2,130
wara1303,Warao,3,26
wari1268,Wari',2,153
waur1244,Waurá,3,362
waya1269,Wayana,3,182
waya1270,Wayampi,9,204
wayu1243,Wayuu,3,37
wich1262,Wichí Lhamtés Nocten,5,656
woun1238,Woun Meu,9,62
xava1240,Xavánte,5,323
xere1240,Xerénte,6,305
xeta1241,Xetá,4,690
xing1248,Xingú Asuriní,5,184
xipa1240,Xipaya,3,90
xiri1243,Xiriâna,3,263
xokl1240,Xokleng,6,794
yaba1248,Yabarana,3,808
yagu1244,Yagua,5,97
yama1264,Yámana,3,279
yame1242,Yameo,3,143
yami1256,Yaminahua,4,322
yane1238,Yanesha',4,2474
yano1261,Yanomamö,17,548
yano1262,Yanomámi,24,341
yavi1244,Yavitero,2,120
yawa1260,Yawanawa,2,261
yawa1261,Yawalapití,2,331
yine1238,Yine,5,355
yora1241,Yora,2,569
yucu1253,Yucuna,3,164
yuhu1238,Yuhup,10,109
yukp1241,Yukpa,5,1989
yuqu1240,Yuqui,8,208
yura1255,Yuracaré,3,209
yuru1263,Yurutí,3,176
yuwa1244,Hoti,6,848
zapa1253,Záparo,3,207
zoee1240,Zo'é,5,87
